X1,X2,Y
40,77,1
17,42,1
53,72,0
32,32,1
10,44,1
39,42,1
97,23,0
11,33,1
80,92,0
80,39,0
98,25,0
25,96,1
48,94,1
91,87,0
17,98,1
81,77,0
11,13,1
46,20,1
46,2,1
4,67,1
15,1,1
96,85,0
17,31,1
31,90,1
15,70,1
43,7,1
94,65,0
46,36,1
98,100,0
56,96,0
83,100,0
92,92,0
95,4,0
11,11,1
44,50,1
57,26,0
17,35,1
21,40,1
24,22,1
35,48,1
44,50,1
21,86,1
85,18,0
15,43,1
42,88,1
27,71,1
100,57,0
84,38,0
76,54,0
23,53,1
84,46,0
56,71,0
72,56,0
48,29,1
65,94,0
41,60,1
92,83,0
72,8,0
100,73,0
88,36,0
3,54,1
80,31,0
76,58,0
73,87,0
15,78,1
78,30,0
42,21,1
46,70,1
90,0,0
43,96,1
78,58,0
23,28,1
24,61,1
48,63,1
93,28,0
30,43,1
59,10,0
81,18,0
21,26,1
49,80,1
43,89,1
46,45,1
93,80,0
66,47,0
55,7,0
72,61,0
3,59,1
21,46,1
83,13,0
74,92,0
64,22,0
95,46,0
5,16,1
6,84,1
31,43,1
93,79,0
47,6,1
49,60,1
97,93,0
88,33,0
43,17,1
